# Token pairs extracted from pools.csv
# Format: token0,token1
0x06561dc5cedcc012a4ea68609b17d41499622e4c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x069d89974f4edabde69450f9cf5cf7d8cbd2568d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x06c84db1f9899e1203ef3c9f05b2300ba47e4023,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x06f3c323f0238c72bf35011071f2b5b7f43a054c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x07aa7bf18fcf140bcaf3db6a653700c7d5672e50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x07c3e739c65f81ea79d19a88d27de4c9f15f8df0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x07c8b9deae988726fd443ea8c3c1367f98a31f9c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0800394f6e23dd539929c8b77a3d45c96f76aefc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0808951b40f202e240373ebb5f37e06e8c6408d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0828096494ad6252f0f853abfc5b6ec9dfe9fdad,0xdac17f958d2ee523a2206206994597c13d831ec7
0x083a96c390c942def68b6343d1c651eeae604b50,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
0x083a96c390c942def68b6343d1c651eeae604b50,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x083a96c390c942def68b6343d1c651eeae604b50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x08a1c30bbb26425c1031ee9e43fa0b9960742539,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x08a1c30bbb26425c1031ee9e43fa0b9960742539,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x08ad83d779bdf2bbe1ad9cc0f78aa0d24ab97802,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x08c32b0726c5684024ea6e141c50ade9690bbdcc,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0921799cb1d702148131024d18fcde022129dc73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x09395a2a58db45db0da254c7eaa5ac469d8bdc85,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x09395a2a58db45db0da254c7eaa5ac469d8bdc85,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0943d06a5ff3b25ddc51642717680c105ad63c01,0x96a5399d07896f757bd4c6ef56461f58db951862
0x0943d06a5ff3b25ddc51642717680c105ad63c01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0954906da0bf32d5479e25f46056d22f08464cab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x09a3ecafa817268f77be1283176b946c4ff2e608,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x09d6f0f5a21f5be4f59e209747e2d07f50bc694c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0a625b25ae07440f71ee423eac6afb8871d0a1fb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0a638f07acc6969abf392bb009f216d22adea36d,0xdac17f958d2ee523a2206206994597c13d831ec7
0x0a6e7ba5042b38349e437ec6db6214aec7b35676,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0ab831f2b7c4aced7ed459b8bb32fd774e5f0586,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5
0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
