blockchain,token_pair,pool_address,unique_key,uni_portion,total_volume,uni_volume
ethereum,CARD-WETH,0x32ecd439b57fb881ea1f5df2f8581b6fdac0acac,0x954b890704693af242613edef1b603825afcd708-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,58708.129181796176,58708.129181796176
ethereum,NKN-WETH,0x126057c719542b9c370c60f568b1abb0517e3052,0x5cf04716ba20127f1e2297addcf4b5035000c9eb-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,8921.990217580586,8921.990217580586
ethereum,ORANGE-WETH,0x9772930ca77a466f3fe0071ea429eac0fd536d8c,0x69aa183388fbfa0a562c4b7e543880081d898112-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,2225.2593358439435,2225.2593358439435
ethereum,SUPERGROK-WETH,0x6378f1fdaf3048ca71d8f69671c31cb83cabee69,0x00869e8e2e0343edd11314e6ccb0d78d51547ee5-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,56613.70412411476,56613.70412411476
ethereum,UPONLY-WETH,0x5829296b0794d8b65cf03152f033034ff9070d97,0x6b84e153b8a410183de73317de26eed75d7c1394-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,24163.960628441175,24163.960628441175
ethereum,WETH-💎🙌,0x8c451aab54d5674e1b7ce55ffd543a8d74d34beb,0x693b5b6664efd45efce82a3b3d3338bb5b2656b4-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,20153.717317859275,20153.717317859275
ethereum,AXL-WETH,0xe7f6720c1f546217081667a5ab7febb688036856,0x467719ad09025fcc6cf6f8311755809d45a5e5f3-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997976548982843,158955.40225966944,158923.23841263095
ethereum,WLD-ZIK,0x0f21474bf3e2973cc62bbf2562f534326a859801,0x163f8c2467924be0ae7b5347228cabf260318753-0xd4419c2d3daa986dc30444fa333a846be44fd1eb,1,3045.2102120328345,3045.2102120328345
ethereum,ICHI-USDC,0x8f0350c8be74b4cb0458cbf04d16753000fda9d0,0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,42383.40621262997,42383.40621262997
ethereum,SHOG-WETH,0x24602cb90c5262d51d33fe8e3360ff37477d80b6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xc8388e437031b09b2c61fc4277469091382a1b13,1,9252.674635600777,9252.674635600777
ethereum,ccBCH-WETH,0x571464618a1f7b80d9d56a4b805432bc825ad604,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdb792b1d8869a7cfc34916d6c845ff05a7c9b789,0.9752860155660572,508798.7414716231,496224.29729488376
ethereum,HEKOTÁ-WETH,0x7b82647f10210fa843b52052d997515bf2df06ee,0x6931d1e522f4376025b143ec51ad423e77372d1c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,15659.432606520515,15659.432606520515
ethereum,ORA-WETH,0x4e4a4c4c46d3488ff35ff05a0233785a30f03ec4,0x33333333fede34409fb7f67c6585047e1f653333-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,62552.29894485662,62552.29894485662
ethereum,QQQ-USDT,0xe4d0777862d85de3d14ed2567562f82f09341742,0x2822f6d1b2f41f93f33d937bc7d84a8dfa4f4c21-0xdac17f958d2ee523a2206206994597c13d831ec7,1,1567.2663499266368,1567.2663499266368
ethereum,SPOT-USDC,0x7e0c73af898e1ad50a8efd7d3a678c23cd90b74c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc1f33e0cf7e40a67375007104b929e49a581bafe,0.9994427281147851,474315.74272492167,474051.4198967862
ethereum,FOOD-WETH,0xe25a288644ada7a37a8deaadd5b494dc468cef43,0x66955b36f729564f12eb59444d15ef914b42536a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9449344066850575,1420.881066132399,1342.6394071958503
ethereum,NOOB-WETH,0x1b6190049221b99a6aae9b79fd3ab43402d85e45,0x06561dc5cedcc012a4ea68609b17d41499622e4c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,50263.04068421621,50263.04068421621
ethereum,PMON-WETH,0xf18c97261e4152c173779f749bbebc9e856d1838,0x1796ae0b0fa4862485106a0de9b654efe301d0b2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9947918162215952,3206.4270355846993,3189.7273743113283
ethereum,CTA-REVV,0x75a93c85b850e321a394d6e72a4e9710600d20ab,0x557b933a7c2c45672b610f8954a3deb39a51a8ca-0x90685e300a4c4532efcefe91202dfe1dfd572f47,1,37016.46338761573,37016.46338761573
ethereum,RWS-WETH,0xf03744a09b37ee59c0d1a38b1f358f77cad53357,0x08ad83d779bdf2bbe1ad9cc0f78aa0d24ab97802-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,16857.897562673515,16857.897562673515
ethereum,Orlando-WETH,0x0d8242fe98570b99abe0b1b8175cdb6f8c05b62e,0x6915d60192c303fc7b5be8e10382790af7a82e6f-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,71394.28013371344,71394.28013371344
ethereum,TTBW-WETH,0x22d10bfb91c0eb3d6c7e469e0d2416d3d931deea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xf2db6e86ee9fb9120830ca018432711b69771e32,0.996856135928448,6477.097551801655,6456.7344375206085
ethereum,ENA-LINK,0x0383f6605c0866fbe85c399e48ac66e435ad1aca,0x514910771af9ca656af840dff83e8264ecf986ca-0x57e114b691db790c35207b2e685d4a43181e6061,1,75107.14613900102,75107.14613900102
ethereum,RENQ-USDT,0x7373126710174da79118a553731bd702c89244b1,0xdac17f958d2ee523a2206206994597c13d831ec7-0xff8c479134a18918059493243943150776cf8cf2,1,26352.503000879824,26352.503000879824
ethereum,CCDAO-PHA,0x4f9136f4a95c2a37f1830ee83561f4297daaedc6,0x1487bd704fa05a222b0adb50dc420f001f003045-0x6c5ba91642f10282b576d91922ae6448c9d52f4e,1,2620.3138408989757,2620.3138408989757
ethereum,PSY-WETH,0xedc5d54b823873f3bb143a06a5ef2d003c29a933,0x2196b84eace74867b73fb003aff93c11fce1d47a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,130663.07350683096,130663.07350683096
ethereum,cars-WETH,0xd81811c7c1522069f7813ffd16a0d88319bf6862,0x699da7cee9da7b0d614e6d1c2aa85e1d18bcd0fc-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,11572.25230031276,11572.25230031276
ethereum,WETH-WPLS,0x4a2987c255ad7f9409c54a4fce7823441e14f08b,0xa882606494d86804b5514e07e6bd2d6a6ee6d68a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,2883317.547199518,2883317.547199518
ethereum,OHM-WETH,0xf1b63cd9d80f922514c04b0fd0a30373316dd75b,0x383518188c0c6d7730d91b2c03a03c837814a899-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9930747851987207,10755208.234999647,10680726.107739788
ethereum,CLT-WETH,0x8d6e194ca785e1d235ddf7ecfab3a04317c1f015,0xae1e1b4d8f590371b77bee27257ef038d4b835a1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,4430.746196674151,4430.746196674151
ethereum,DAI-USDS,0xe9f1e2ef814f5686c30ce6fb7103d0f780836c67,0x6b175474e89094c44da98b954eedeac495271d0f-0xdc035d45d973e3ec169d2276ddab16f1e407384f,0.8091226355437761,1696842.358082343,1372953.560873901
